"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","playerid"
"Edwin Ríos","LAD","30","131","118","25","5","0","6","16","18","10","47","2","1","0","",".214",".284",".427",".711",".304","","-0.4","-0.2","","0.0","18316"
"Mickey Moniak","PHI","42","183","165","36","7","2","5","20","20","13","51","2","2","1","",".218",".280",".385",".665",".285","","-0.3","0.0","","0.0","19956"
"Nick Ciuffo","CHW","2","6","5","1","0","0","0","1","1","0","2","0","0","0","",".201",".265",".340",".605",".265","","0.0","0.0","","0.0","16291"
"Travis Shaw","BOS","15","66","57","12","3","0","2","7","8","7","18","1","0","0","",".216",".311",".387",".698",".305","","0.1","-0.1","","0.0","11982"
"Drew Jackson","OAK","3","13","11","2","0","0","0","1","1","1","4","0","0","0","",".196",".291",".311",".602",".270","","-0.1","0.0","","0.0","17807"
"Tim Lopes","COL","2","7","6","1","0","0","0","1","1","0","1","0","0","0","",".249",".312",".390",".702",".305","","0.0","0.0","","0.0","14137"
"Jonathan Davis","MIL","3","13","11","2","0","0","0","1","1","1","4","0","0","0","",".202",".306",".322",".628",".283","","0.0","0.0","","0.0","15104"
"Sebastian Rivero","KCR","3","12","11","2","1","0","0","1","1","1","3","0","0","0","",".217",".277",".331",".609",".267","","0.0","0.0","","0.0","21735"
"Gosuke Katoh","TOR","15","66","58","13","3","0","1","7","6","6","17","0","1","1","",".225",".305",".342",".647",".287","","0.0","-0.1","","0.0","15697"
"Ivan Castillo","KCR","2","7","6","1","0","0","0","1","1","0","1","0","0","0","",".243",".297",".341",".638",".280","","0.0","0.0","","0.0","15971"
"Nick Plummer","NYM","2","7","6","1","0","0","0","1","1","1","2","0","0","0","",".200",".312",".343",".655",".293","","0.0","0.0","","0.0","18690"
"Tony Wolters","LAD","3","12","11","2","0","0","0","1","1","1","3","0","0","0","",".199",".284",".285",".569",".257","","0.0","0.0","","0.0","11470"
"Albert Almora Jr.","CIN","2","7","6","1","0","0","0","1","1","0","1","0","0","0","",".246",".296",".386",".681",".294","","0.0","0.0","","0.0","14109"
"Seby Zavala","CHW","3","12","11","2","0","0","0","1","1","1","5","0","0","0","",".173",".246",".324",".570",".250","","-0.1","0.0","","0.0","18887"
"Rafael Marchan","PHI","9","36","32","7","1","0","1","4","3","3","7","0","0","0","",".226",".295",".329",".625",".277","","0.0","0.0","","0.0","21646"
"Alex De Goti","HOU","2","7","6","1","0","0","0","1","1","1","2","0","0","0","",".204",".281",".312",".594",".264","","-0.1","0.0","","0.0","19477"
"Roman Quinn","PHI","3","13","12","2","0","0","0","1","1","1","4","0","1","0","",".216",".292",".343",".634",".280","","-0.1","0.0","","0.0","13546"
"Richie Martin","BAL","21","92","83","18","4","1","1","9","8","7","23","1","2","1","",".221",".288",".334",".622",".275","","-0.7","-0.1","","0.0","17736"
"Steven Souza Jr.","SEA","2","7","6","1","0","0","0","1","1","1","2","0","0","0","",".191",".286",".344",".630",".278","","0.0","0.0","","0.0","5667"
"David Dahl","MIL","3","13","12","3","1","0","0","1","1","1","3","0","0","0","",".236",".288",".396",".683",".295","","0.0","0.0","","0.0","13744"
"Dexter Fowler","TOR","2","7","6","1","0","0","0","1","1","1","2","0","0","0","",".212",".303",".362",".665",".293","","-0.1","0.0","","0.0","4062"
"Buddy Reed","OAK","3","13","12","2","1","0","0","1","1","1","5","0","0","0","",".194",".268",".315",".582",".258","","0.0","0.0","","0.0","sa738683"
"Símon Muzziotti","PHI","12","52","48","12","2","0","1","6","4","3","10","0","1","1","",".246",".300",".353",".653",".286","","0.0","-0.1","","0.0","19553"
"Phil Gosselin","ATL","6","26","23","6","1","0","0","3","3","2","6","0","0","0","",".245",".314",".359",".673",".296","","-0.2","0.0","","0.0","10953"
"Gerardo Parra","WSN","2","7","6","1","0","0","0","1","1","1","2","0","0","0","",".226",".296",".345",".641",".282","","0.0","0.0","","0.0","8553"
"Jarrod Dyson","","16","70","63","14","2","0","1","7","6","6","16","1","4","1","",".221",".289",".316",".605",".269","","-0.1","0.2","","0.0","4866"
"José Azocar","SDP","12","52","48","11","2","0","1","6","5","3","13","0","2","1","",".237",".287",".350",".637",".278","","-0.2","0.0","","0.0","18821"
"Heliot Ramos","SFG","41","178","162","38","8","1","5","20","17","13","52","2","4","1","",".234",".296",".377",".672",".293","","-1.7","0.0","","0.0","22515"
"Eric Thames","OAK","6","26","23","5","1","0","1","3","3","2","8","0","0","0","",".210",".289",".394",".683",".295","","-0.2","-0.1","","0.0","3711"
"Jose Lobaton","","5","19","17","3","1","0","0","2","2","2","6","0","0","0","",".188",".270",".313",".583",".260","","-0.1","0.0","","0.0","4243"
"Ryan Dorow","TEX","5","20","18","4","1","0","0","2","2","2","6","0","0","0","",".208",".286",".331",".617",".273","","-0.4","0.0","","0.0","23559"
"Corey Ray","MIL","3","13","12","2","1","0","0","1","1","1","4","0","0","0","",".207",".271",".367",".637",".277","","-0.2","0.0","","0.0","19170"
"Wilmer Difo","ARI","9","40","36","8","1","0","1","4","4","3","9","0","0","0","",".237",".303",".342",".646",".284","","-0.1","0.0","","0.0","14320"
"Billy Hamilton","SEA","5","20","18","4","1","0","0","2","1","1","6","0","1","0","",".196",".258",".278",".536",".240","","0.1","0.1","","0.0","10199"
"Sandy León","CIN","14","54","48","10","2","0","1","5","5","4","15","1","0","0","",".198",".263",".325",".588",".259","","-0.1","-0.2","","0.0","5273"
"Grayson Greiner","ARI","6","24","21","4","1","0","1","2","2","2","8","0","0","0","",".198",".277",".318",".595",".265","","-0.1","0.0","","0.0","17062"
"Lewis Brinson","HOU","18","79","73","16","3","0","2","8","9","4","22","1","1","0","",".217",".268",".364",".632",".274","","-0.6","0.0","","0.0","14352"
"Kurt Suzuki","LAA","39","155","140","32","6","0","4","14","16","9","28","5","0","0","",".231",".296",".366",".663",".291","","-2.8","-0.4","","0.0","8259"
"Albert Pujols","STL","48","206","190","47","6","0","9","22","32","12","32","2","1","1","",".246",".295",".425",".720",".306","","0.0","-0.6","","0.0","1177"
"Guillermo Heredia","ATL","36","156","137","31","8","0","3","18","14","14","38","3","1","0","",".225",".308",".358",".666",".292","","-0.5","-0.1","","-0.1","18721"
"Stephen Vogt","OAK","62","256","228","46","11","1","7","25","27","24","65","1","1","0","",".201",".279",".352",".631",".275","","-0.8","-0.7","","-0.1","5000"
"Donovan Casey","WSN","15","65","60","13","3","0","2","7","7","4","22","1","1","0","",".222",".277",".370",".647",".281","","0.0","0.0","","-0.1","sa915654"
"Ryan Vilade","COL","11","46","41","10","2","0","1","5","4","4","9","0","1","0","",".249",".312",".365",".677",".296","","0.0","0.0","","-0.1","22165"
"Keston Hiura","MIL","60","261","231","52","11","1","10","30","31","21","88","6","4","2","",".224",".304",".405",".709",".307","","-0.6","-0.1","","-0.1","20003"
"Max Schrock","CIN","12","52","47","11","2","0","1","6","5","4","11","0","1","0","",".238",".299",".370",".669",".290","","-0.3","-0.1","","-0.1","17750"
"Anthony Alford","PIT","74","322","282","60","12","1","10","35","34","31","112","4","11","4","",".214",".299",".370",".669",".292","","-0.7","0.5","","-0.1","14329"
"Miguel Cabrera","DET","115","496","449","113","16","0","15","49","62","39","114","4","0","0","",".252",".315",".388",".703",".306","","-0.4","-2.5","","-0.2","1744"
"Jake McCarthy","ARI","80","344","307","67","13","5","8","37","33","30","99","3","17","5","",".217",".291",".365",".656",".286","","-0.7","1.2","","-0.2","21622"
"Dee Strange-Gordon","WSN","26","111","105","26","4","1","1","11","9","4","17","1","3","1","",".253",".285",".341",".625",".272","","-1.0","0.1","","-0.2","8203"
"Alcides Escobar","WSN","103","444","408","96","20","1","6","48","38","24","86","6","5","1","",".236",".287",".338",".625",".274","","-4.1","0.4","","-0.3","6310"
