"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","playerid"
"Jeremy Peña","HOU","119","512","466","119","19","5","18","54","55","32","127","8","9","4","",".255",".311",".431",".742",".319","","-0.5","-0.4","","2.4","21636"
"Eloy Jiménez","CHW","132","569","523","142","26","1","32","72","95","36","137","3","0","0","",".271",".320",".505",".825",".349","","-2.8","-0.3","","2.4","17484"
"Alex Verdugo","BOS","125","539","483","140","31","2","15","71","61","47","84","4","6","2","",".290",".354",".453",".807",".344","","1.6","0.4","","2.4","17027"
"Eduardo Escobar","NYM","129","558","505","123","25","4","23","67","76","46","118","3","1","1","",".243",".308",".447",".756",".322","","-0.1","-0.8","","2.4","6153"
"Steven Kwan","CLE","127","549","483","138","24","5","12","72","56","53","63","6","7","4","",".285",".360",".432",".792",".344","","-1.2","-0.8","","2.4","24610"
"Mitch Garver","TEX","112","451","391","94","18","1","21","58","59","51","125","5","2","1","",".240",".333",".453",".786",".338","","-2.8","-0.9","","2.4","15161"
"Tyler Stephenson","CIN","106","419","366","97","20","0","12","53","49","43","82","7","0","0","",".264",".350",".420",".769",".335","","1.9","-0.6","","2.4","17988"
"Dylan Carlson","STL","139","599","527","135","30","4","18","78","66","55","135","10","5","2","",".256",".335",".433",".768",".331","","1.8","-0.5","","2.4","20126"
"Jesús Sánchez","MIA","118","509","462","118","17","6","23","62","71","38","130","5","2","2","",".255",".317",".466",".783",".332","","1.1","-1.2","","2.4","19913"
"Justin Turner","LAD","126","545","479","127","22","0","19","71","74","51","93","11","2","0","",".265",".347",".432",".780",".339","","-2.6","-1.1","","2.3","5235"
"Gleyber Torres","NYY","117","506","447","116","22","0","18","61","64","49","102","4","9","4","",".259",".335",".432",".767",".331","","-2.9","-0.2","","2.3","16997"
"Salvador Perez","KCR","139","558","523","134","23","0","33","68","91","21","137","10","1","0","",".257",".296",".495",".791",".332","","2.1","-1.2","","2.3","7304"
"Willson Contreras","CHC","132","538","464","111","23","1","23","69","71","53","143","16","5","3","",".240",".336",".443",".779",".337","","0.1","-1.7","","2.3","11609"
"Nicky Lopez","KCR","131","566","503","136","23","4","4","65","44","47","74","5","15","4","",".271",".336",".361",".697",".308","","4.8","1.1","","2.3","19339"
"Starling Marte","NYM","126","545","493","133","25","2","15","76","61","33","100","14","29","8","",".269",".330",".423",".753",".325","","-0.1","2.8","","2.3","9241"
"Josh Bell","WSN","137","594","515","139","27","2","29","82","99","70","110","4","1","1","",".270",".360",".497",".857",".364","","-3.7","-2.3","","2.3","13145"
"Kolten Wong","MIL","125","542","482","125","25","4","12","68","51","39","92","13","14","5","",".260",".330",".405",".735",".319","","3.7","0.8","","2.3","12532"
"Kyle Schwarber","PHI","130","561","479","113","20","1","35","81","86","72","154","5","2","2","",".237",".341",".504",".845",".358","","-0.5","-1.2","","2.2","16478"
"Marcell Ozuna","ATL","134","577","517","138","24","1","28","75","92","52","120","3","3","0","",".268",".336",".481",".817",".348","","0.4","-0.1","","2.2","10324"
"Brandon Belt","SFG","115","496","424","105","21","2","24","69","65","62","123","5","3","2","",".248",".349",".476",".825",".352","","1.5","-1.3","","2.2","10264"
"Nathaniel Lowe","TEX","133","575","497","131","24","2","20","72","72","70","138","3","5","1","",".264",".357",".441",".798",".345","","-1.6","-0.2","","2.2","19566"
"Austin Meadows","DET","113","489","434","113","24","4","22","67","75","46","101","5","6","3","",".261",".336",".487",".823",".349","","0.1","-1.2","","2.2","15672"
"Jean Segura","PHI","124","535","489","138","25","3","13","66","57","33","75","7","8","3","",".283",".335",".424",".759",".327","","0.1","0.4","","2.2","5933"
"Danny Jansen","TOR","79","313","273","65","15","1","15","43","43","31","63","5","1","0","",".237",".324",".462",".786",".337","","0.6","-0.4","","2.2","16535"
"Adalberto Mondesi","KCR","131","566","526","126","26","6","17","68","65","29","162","3","48","10","",".240",".281",".411",".692",".295","","3.0","5.4","","2.2","13769"
"Kris Bryant","COL","140","604","526","146","34","2","25","89","80","61","129","11","7","2","",".277",".362",".492",".854",".364","","-4.4","1.1","","2.2","15429"
"Tony Kemp","OAK","115","496","424","110","19","3","9","60","43","57","66","7","10","3","",".258",".354",".379",".733",".325","","-2.0","0.1","","2.1","14894"
"José Abreu","CHW","145","628","562","146","31","2","29","81","102","48","143","13","1","0","",".260",".331",".474",".806",".343","","-1.8","-1.2","","2.1","15676"
"Randy Arozarena","TBR","134","581","512","130","29","3","21","79","70","50","153","14","18","9","",".255",".336",".444",".779",".335","","-1.1","-0.3","","2.1","19290"
"Daulton Varsho","ARI","118","496","439","109","22","3","19","63","58","47","109","5","10","3","",".248",".325",".440",".765",".328","","-1.7","1.0","","2.1","19918"
"Yandy Díaz","TBR","121","522","449","120","22","1","12","64","57","66","82","3","2","2","",".267",".362",".404",".766",".335","","-0.6","-1.1","","2.0","16578"
"Dansby Swanson","ATL","142","616","553","133","30","2","21","75","74","50","160","5","9","3","",".241",".308",".420",".728",".312","","-0.9","0.9","","2.0","18314"
"Michael Brantley","HOU","117","506","459","135","27","2","12","65","57","37","61","4","3","1","",".294",".349",".439",".789",".340","","-0.1","-0.8","","2.0","4106"
"Ian Happ","CHC","126","545","468","113","22","2","25","70","75","68","156","5","8","3","",".241",".341",".453",".794",".342","","-1.5","0.1","","2.0","17919"
"Nick Castellanos","PHI","140","607","552","151","36","2","28","85","91","43","132","7","3","2","",".273",".331",".497",".828",".349","","-2.8","-0.6","","2.0","11737"
"Mike Yastrzemski","SFG","124","536","470","112","27","4","21","71","63","52","133","8","5","2","",".239",".322",".445",".766",".328","","-0.1","-0.2","","2.0","14854"
"Chris Taylor","LAD","140","604","530","131","30","5","18","79","77","61","170","7","11","3","",".248",".330",".426",".756",".326","","-3.6","1.3","","2.0","13757"
"Whit Merrifield","KCR","145","626","577","160","33","3","11","80","56","37","92","5","29","7","",".276",".323",".402",".725",".313","","2.4","2.8","","2.0","11281"
"Andrew Benintendi","KCR","123","532","476","128","27","3","16","64","64","47","100","4","9","5","",".269",".338",".436",".774",".334","","1.1","-0.5","","2.0","17901"
"Miguel Rojas","MIA","121","522","476","125","24","3","8","56","49","35","71","6","10","4","",".262",".318",".376",".693",".301","","3.0","-0.3","","2.0","7802"
"Keibert Ruiz","WSN","97","386","351","93","18","1","15","45","52","28","48","4","0","0","",".266",".324",".448",".772",".331","","-0.4","-0.4","","2.0","19610"
"Brian Anderson","MIA","124","535","469","116","24","1","16","59","61","50","133","12","5","2","",".247",".333",".408",".741",".322","","-0.2","0.1","","2.0","18289"
"Jazz Chisholm Jr.","MIA","125","542","487","116","19","7","22","71","67","42","157","6","21","8","",".238",".303",".441",".745",".318","","-2.8","0.7","","1.9","20454"
"Mitch Haniger","SEA","120","519","464","114","21","2","26","73","75","43","130","7","2","0","",".246",".318",".469",".787",".335","","-0.2","-0.7","","1.9","14274"
"Austin Nola","SDP","96","384","340","88","18","1","9","45","43","33","64","7","2","1","",".258",".333",".397",".731",".319","","-1.3","-0.3","","1.9","15941"
"Ryan McMahon","COL","131","565","500","126","28","2","23","73","79","54","149","5","5","2","",".252",".329",".455",".784",".336","","2.0","-0.2","","1.9","15112"
